SKUid,EANcode,BrandName,Category,Product,Price,Incentive
624,8.90E+12,BOAT,Wired EP,Bassheads 950v2 Warm Grey,1099,11
1971,8.91E+12,BOAT,Wearables,Cosmos Active Black,2732,27
1998,8.91E+12,BOAT,Wearables,Cosmos Ink Blue,2732,27
1972,8.91E+12,BOAT,Wearables,Cosmos Pro Active Black,3279,33
1995,8.91E+12,BOAT,Wearables,Cosmos Pro Cool Blue,3279,33
1712,8.90E+12,BOAT,Wearables,Watch Blaze Active Black,4499,45
1709,8.90E+12,BOAT,Wearables,Watch Blaze Cherry Blossom,4499,45
1708,8.90E+12,BOAT,Wearables,Watch Blaze Cool Grey,4499,45
1711,8.90E+12,BOAT,Wearables,Watch Blaze Deep Blue,4499,45
1710,8.90E+12,BOAT,Wearables,Watch Blaze Raging Red,4499,45
1350,8.90E+12,BOAT,Wearables,Watch Flash Active Black,1601,16
1351,8.90E+12,BOAT,Wearables,Watch Flash Electric Blue,1601,16
1352,8.90E+12,BOAT,Wearables,Watch Flash Galaxy Blue,1601,16
1353,8.90E+12,BOAT,Wearables,Watch Flash Lightning Black,1601,16
1354,8.90E+12,BOAT,Wearables,Watch Flash Moon Red,1601,16
1355,8.90E+12,BOAT,Wearables,Watch Flash Rtl Galaxy Blue,1601,16
1356,8.90E+12,BOAT,Wearables,Watch Flash Rtl Lightning Black,1601,16
1357,8.90E+12,BOAT,Wearables,Watch Flash Rtl Moon Red,1601,16
1358,8.90E+12,BOAT,Wearables,Watch Flash Vivid Red,1601,16
667,8.90E+12,BOAT,Wearables,Watch Iris Coffee Brown,5099,51
1143,8.90E+12,BOAT,Wearables,Watch Matrix Ocean Blue,5099,51
1144,8.90E+12,BOAT,Wearables,Watch Matrix Pitch Black,5099,51
